U,V
13.22309115766052,-12.895540941008026
13.367050831530488,-12.857850674831646
13.24823881765827,-12.770742896875724
13.06867640361738,-12.728315043069621
13.288544464379413,-12.999215793481124
13.353559294812225,-12.713270178994144
13.126229867256903,-12.982002645180707
13.082349675554642,-12.853122116239227
12.911222939828972,-12.680843493718061
12.946622595231144,-12.831096112808815
13.416794418183997,-12.966449651782646
13.450647909521926,-12.626025997709093
13.481863548471747,-12.738666495480956
13.25413208773577,-12.590275210123504
13.18444771270965,-12.6908054567815
13.381571199307196,-12.529146126401024
12.97935239017595,-12.972269544332079
13.51640907106239,-12.408488907152972
13.589064815586376,-12.879130935914787
13.019550324872313,-12.609605094388431
13.462982809102483,-12.252483638515734
12.879624676833254,-12.992263284731866
13.068209936140937,-12.483818748232373
12.962903717554022,-12.496785544749152
13.563034460078747,-12.156275381492918
13.477844652903942,-12.867907459232818
13.305417009235745,-12.456976773895565
13.533735289993256,-12.967576354304242
13.348092995837273,-12.359603731013763
13.541362511698734,-12.572511362662762
13.220875875417986,-12.355495464892165
12.80375124101205,-12.688560507621748
12.85781319465077,-12.558575367926885
13.177661163477046,-12.486811147590224
13.66375969446226,-12.385637550704455
13.124203127297152,-12.603548363902963
12.683657741518351,-12.992877424596983
12.850226091776756,-12.896455364549574
13.680872131479092,-12.978735222783381
13.092779713300473,-12.356617852117992
12.842673026015781,-12.446880539995384
13.726702643209588,-12.852838096983255
13.595900149226445,-12.25764418278963
12.841056204815859,-12.786022172505529
13.019146881699857,-12.182495715800918
12.734380512674692,-12.848310238336865
13.595341879469771,-12.74379598558911
13.732772383082969,-12.626579588869618
12.73781990027437,-12.496541909104401
13.735533477695874,-12.505276831272806
13.628398964352964,-12.622493053359669
12.647326069180114,-12.756713992754772
12.535744504127258,-12.997819613976688
12.746462725414805,-12.313799072078751
12.957364211735102,-12.354695712982235
12.607458709946885,-12.886542314064421
13.138334335038548,-12.227172537805064
12.503337139281623,-12.863901174750907
12.543321247053552,-12.710297710315793
12.72748943960611,-12.608870858438657
12.355686052456248,-12.941024849938106
13.567653250243332,-11.988094954682861
13.618584353850087,-12.503159327303962
12.44605627498017,-12.770612098660067
12.336803090752626,-12.797846185510501
12.165529899503737,-12.999506894677072
12.854974206921142,-12.347436202550014
13.792366262634872,-12.980114095794114
12.543057756312677,-12.570367673940606
12.22518316201916,-12.679422814472197
12.372639489596493,-12.66658184680341
12.298218503722017,-12.534274365201824
12.812871882601236,-12.21017077154647
12.965718608391036,-12.016358044987555
13.766021462824106,-12.373492876862308
13.72414019933448,-12.048644808698018
13.110144622333635,-11.99267041976438
13.145698479942334,-12.097253980556829
12.560326526712945,-12.438785391653397
12.107526425974802,-12.568394822465208
12.689952164644874,-12.087925657695042
13.330302867457839,-12.203577071476666
13.754952704682685,-12.739732180533544
13.408094541066967,-12.10087677629462
12.56144331326882,-12.123473690725945
13.888647022134611,-11.977147203190533
12.069358505136789,-12.850513896129414
13.839446061502734,-11.849881541647147
12.624919618384345,-11.927598730858147
12.781872724280197,-12.006582650499034
12.674545853515324,-12.393289415681608
12.41760545234443,-12.552631494103707
12.60446062243039,-12.239944847768285
12.90197331754713,-12.117285956366853
12.11443103124258,-12.697913464502228
13.898810810255993,-12.129107922338001
13.46979674251873,-11.950200500742906
13.887910281844938,-12.759255742244136
13.64240212782473,-11.885883760918265
12.246208484096812,-12.377560393390915
13.330336013265924,-11.89052511751354
13.261215951955247,-11.987280053819966
13.233369067307226,-12.167766303095647
13.894803663940701,-12.911708767256087
12.250241791643484,-12.266361801776704
13.793323807544612,-12.261721542647237
13.558491941680806,-11.714182707971837
13.496007639757206,-11.82960201189535
12.4920590856582,-12.274938510508285
12.549819378963669,-11.760187407222688
11.984080785498575,-12.952534617978387
12.413065253962724,-12.211178698643153
12.433324158825242,-12.097124844144659
13.721919294518768,-12.190154697918636
12.925424249973013,-12.21968164641482
12.874128603677615,-11.90397201644932
13.677918995095427,-11.790114372696905
12.168540446068628,-12.786355851413969
12.257792277002844,-12.889399000271538
13.624188088229719,-11.601769115934104
13.878245243140386,-12.330263607306932
12.207175463403539,-12.48562375729665
13.540438338075827,-11.52528640512055
13.973358111870105,-11.839824687437716
13.366405698070807,-11.431099670973975
13.8251006444434,-11.659604414422311
12.432715614745442,-12.451939307268937
13.070743409145605,-11.80786006932756
13.168532376673445,-11.895815119088471
12.329457705944511,-12.074252749889876
13.399815346006918,-11.718520973066397
13.48201267969393,-11.635186253205735
13.685935507864112,-11.685333236540451
12.116804036319227,-12.346576531075286
13.79097686745031,-11.7607046417087
14.000308524222943,-12.992252131700422
13.328137043631752,-11.63522720258866
13.908685446118893,-12.631446102405242
13.027034987242796,-11.901822717389397
13.778720750110148,-11.547407192337495
12.358995009328533,-12.35458807086826
13.98638154635917,-12.079967011727359
11.955797523641332,-12.837092413601972
13.748275593602756,-11.930818388459933
13.859393862870101,-12.456763516142807
11.970887061036798,-12.562732723806477
11.860959482649822,-12.676811439538834
14.028727223982624,-12.758393487192723
13.963340970886968,-12.398930925349696
12.229912857465388,-12.108100460311334
13.643527080425585,-11.482627648974244
14.092017516144512,-12.237367034922912
14.10230855052488,-12.97908338644919
13.992293917201717,-12.251857193247726
13.947204118167269,-11.69766691039542
14.040360391038448,-12.882584345047874
14.028027632680427,-11.94999954808467
13.831547882571575,-11.38390887078761
